,method,band,rho,avg-dist,pval_hat,corrected pval_hat
321,WPLI,$f_1$,0.2,0.10246339486424837,1.0,1.0
322,WPLI,$f_1$,0.3,0.16282685980967365,1.0,1.0
323,WPLI,$f_1$,0.4,0.22588733889784854,1.0,1.0
324,WPLI,$f_1$,0.5,0.3471885802335042,2.1960833739837846e-38,8.410532070576196e-38
325,WPLI,$f_1$,0.6,0.5109036865236242,8.13045692094111e-69,3.364327001768735e-68
326,WPLI,$f_1$,0.7,0.5384352035817765,0.0,0.0
327,WPLI,$f_1$,0.8,0.46590914450218013,0.0,0.0
328,WPLI,$f_1$,0.9,0.32173504430857475,0.0,0.0
329,WPLI,$f_1$,0.99,0.20577993688723165,0.0,0.0
330,WPLI,$f_2$,0.1,0.09261019446603047,1.0,1.0
331,WPLI,$f_2$,0.2,0.11642561988065657,1.0,1.0
332,WPLI,$f_2$,0.3,0.1721103565717662,1.0,1.0
333,WPLI,$f_2$,0.4,0.1501571555529263,1.0,1.0
334,WPLI,$f_2$,0.5,0.14932276922816773,0.025039053549857693,0.06828832786324826
335,WPLI,$f_2$,0.6,0.16289071073068195,0.02619466455075746,0.0709028514155841
336,WPLI,$f_2$,0.7,0.17410150050367448,0.058135844273200774,0.15165872419095852
337,WPLI,$f_2$,0.8,0.19012444124700859,0.030841534540357735,0.08285785398902078
338,WPLI,$f_2$,0.9,0.20268866983642056,0.178900400375424,0.4351631360483287
339,WPLI,$f_2$,0.99,0.20424117777043463,0.22046778182320417,0.5204319100118916
340,WPLI,$f_3$,0.1,0.11435012179003846,1.0,1.0
341,WPLI,$f_3$,0.2,0.13948886469399574,1.0,1.0
342,WPLI,$f_3$,0.3,0.22862602006167346,1.0,1.0
343,WPLI,$f_3$,0.4,0.2679797898698395,1.0,1.0
344,WPLI,$f_3$,0.5,0.3880050417311988,1.4846755940869749e-28,5.18915741622632e-28
345,WPLI,$f_3$,0.6,0.4878476582561552,1.3639326080717198e-64,5.5170307742226865e-64
346,WPLI,$f_3$,0.7,0.5585785976093822,7.183164055558416e-95,3.1925173580259626e-94
347,WPLI,$f_3$,0.8,0.5200748159732828,1.2861594255958792e-107,6.013212898889826e-107
348,WPLI,$f_3$,0.9,0.4428030171070475,4.8300973841450166e-76,2.0219012305723324e-75
349,WPLI,$f_3$,0.99,0.3993121271050621,3.5636176081742927e-32,1.2577473911203386e-31
350,WPLI,$f_4$,0.1,0.11206029775560916,1.0,1.0
351,WPLI,$f_4$,0.2,0.12984058228279244,1.0,1.0
352,WPLI,$f_4$,0.3,0.18710267349999882,1.0,1.0
353,WPLI,$f_4$,0.4,0.20381156191401625,1.0,1.0
